"subject","predicate","object"
"https://w3id.org/arco/resource/AccessProfile/1300009445-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009448-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009453-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009471-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009474-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009477-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009485-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009491-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009494-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009497-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009506-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009509-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009512-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009515-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009517-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009522-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009525-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300009533-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300012976-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300012993-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300013005-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300013459-2-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300013661-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300013663-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300013690-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300025998-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026002-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026005-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026010-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026014-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026020-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026051-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026187-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026189-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026199-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026230-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026240-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026253-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026274-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026277-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026282-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026303-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026322-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026334-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026342-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026348-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026369-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026833-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026837-1-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026839-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026842-3-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026843-1-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026846-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026847-1-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026847-3-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026848-3-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026851-1-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026855-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300026859-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300027521-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300027575-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300027601-3-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300027615-4-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300027616-1-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300033024-2-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300033145-1","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300033251-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300033328-0-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300033329-1-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300033335-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300034857-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300034861-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300034894-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
"https://w3id.org/arco/resource/AccessProfile/1300034898-3","http://ipac.mic.gov.it/type","https://w3id.org/arco/ontology/catalogue/AccessProfile"
